,node,y,x,osmid,highway,ref
0,31669910,51.1789594,-4.1312794,31669910,,
1,31670147,51.1085014,-4.1613671,31670147,traffic_signals,
2,31670246,51.1307274,-4.2243119,31670246,,
3,52566528,51.172684,-4.2074747,52566528,,
4,52585859,51.0950245,-4.1397434,52585859,,
5,224348865,51.1795643,-4.1315186,224348865,,
6,224348876,51.1792068,-4.1313801,224348876,,
7,224349213,51.1791953,-4.1310711,224349213,,
8,224349716,51.1799539,-4.1310205,224349716,,
9,224349722,51.1796171,-4.1309277,224349722,,
10,224349916,51.1795379,-4.1308267,224349916,,
11,224350122,51.1793151,-4.1308359,224350122,,
12,224350125,51.1794136,-4.1304499,224350125,,
13,224350238,51.1793511,-4.1315536,224350238,,
14,224350844,51.1794608,-4.1318833,224350844,,
15,224482748,51.0931766,-4.102253,224482748,,
16,319815331,51.0945857,-4.1367653,319815331,,
17,319815335,51.0945558,-4.1364042,319815335,,
18,319815338,51.0943738,-4.1364115,319815338,,
19,319815344,51.0943771,-4.1368051,319815344,,
20,319815599,51.0945042,-4.1339216,319815599,,
21,321512772,51.1017616,-4.1572858,321512772,,
22,321512776,51.1019211,-4.1573736,321512776,,
23,1746770098,51.1018664,-4.1571642,1746770098,,
24,1754274389,51.1796625,-4.1313175,1754274389,,
25,1911527386,51.0954315,-4.1410616,1911527386,,
26,1911527494,51.1015621,-4.1568879,1911527494,,
27,1911527557,51.101898,-4.1571863,1911527557,,
28,1911527580,51.1022781,-4.1572871,1911527580,,
29,4301853469,51.0954415,-4.1417731,4301853469,,
30,4301853472,51.0956215,-4.1416884,4301853472,,
31,4301853475,51.0956951,-4.1419978,4301853475,,
32,4301853478,51.0955437,-4.1421281,4301853478,,
33,4301853482,51.0958301,-4.1424505,4301853482,,
34,30801220,50.9455421,-4.1363629,30801220,,
35,30801403,51.016748,-4.204846,30801403,mini_roundabout,
36,38439084,51.0300571,-4.1951509,38439084,,
37,47828755,51.0313386,-4.1925282,47828755,,
38,47828761,51.0310117,-4.1923962,47828761,,
39,297271545,50.953605,-4.1409433,297271545,mini_roundabout,
40,1798421376,51.0322057,-4.1962259,1798421376,,
41,1798421405,51.0324173,-4.1957237,1798421405,,
42,1798421413,51.0324462,-4.1956542,1798421413,,
43,1798421423,51.0324736,-4.194944,1798421423,,
44,1798421462,51.0325349,-4.1960311,1798421462,,
45,1798421471,51.032587,-4.1960222,1798421471,,
46,1798421553,51.0326501,-4.1956604,1798421553,,
47,1798421566,51.0326701,-4.1957061,1798421566,,
48,1798421603,51.0330486,-4.1959305,1798421603,,
49,4132441268,51.0305467,-4.1919442,4132441268,,
50,7929548573,50.9546136,-4.1358841,7929548573,,
51,7929586894,50.9546964,-4.1359184,7929586894,,
52,7929586948,50.9546392,-4.1360151,7929586948,,
53,31774002,50.5512714,-4.1384622,31774002,,
54,23000996,51.1716991,-3.9369184,23000996,,
55,30897017,51.2095156,-3.5904436,30897017,,
56,30897020,51.2099352,-3.592065,30897020,,
57,30897024,51.2091287,-3.5982887,30897024,,
58,30897258,51.1660189,-3.9776569,30897258,,
59,30897379,51.0985217,-4.0544068,30897379,,
60,31669775,51.2001257,-4.1051642,31669775,,
61,31670023,51.1840788,-3.9825522,31670023,,
62,31672592,51.1391125,-3.7576153,31672592,,
63,31673173,51.0393792,-3.5201472,31673173,,
64,31720551,51.1582834,-3.9193607,31720551,,
65,40970485,51.2295655,-3.8291794,40970485,,
66,40980618,51.2154151,-3.8046685,40980618,,
67,41011724,51.2135354,-3.841948,41011724,,
68,42286536,51.1719936,-3.9373696,42286536,,
69,224123637,51.0857747,-4.0733135,224123637,traffic_signals,
70,224123644,51.0829849,-4.073732,224123644,,
71,224123654,51.08566,-4.0733878,224123654,traffic_signals,
72,224145358,51.0642441,-4.0596726,224145358,,
73,224151296,51.064341,-4.0592326,224151296,,
74,224151303,51.0656005,-4.0589173,224151303,,
75,224152311,51.0653909,-4.0590415,224152311,,
76,224163478,51.0749643,-4.0684803,224163478,,
77,224166077,51.0752874,-4.0671092,224166077,,
78,224166085,51.0756294,-4.0674631,224166085,,
